department,num_email_recipients,num_female_recipients,pct_female_recipients,num_urm_recipients,pct_urm_recipients,num_black_recipients,pct_black_recipients,num_hispanic_recipients,pct_hispanic_recipients,num_assistant_prof_recipients,pct_assistant_prof_recipients,department_clean
Mississippi State University-Physics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Mississippi State University
Montana State University-Chemistry,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Montana State University
Montana State University-Computer Science,2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,Computer Science-Montana State University
Montana State University-Mathematics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Montana State University
Montana State University-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Montana State University
New Jersey Institute of Technology-Computer Science,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Computer Science-New Jersey Institute of Technology
New Jersey Institute of Technology-Mathematics,3,2,0.6667,1,0.3333,0,0.0,1,0.3333,0,0.0,Mathematics-New Jersey Institute of Technology
New Jersey Institute of Technology-Physics,3,1,0.3333,1,0.3333,1,0.3333,0,0.0,0,0.0,Physics-New Jersey Institute of Technology
New York University-Chemistry,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-New York University
New York University-Computer Science,6,1,0.1667,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-New York University
New York University-Mathematics,10,2,0.2,2,0.2,1,0.1,1,0.1,0,0.0,Mathematics-New York University
New York University-Physics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-New York University
North Carolina State University-Chemistry,7,1,0.1429,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-North Carolina State University
North Carolina State University-Computer Science,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-North Carolina State University
North Carolina State University-Mathematics,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-North Carolina State University
North Carolina State University-Mechanical Engineering,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-North Carolina State University
North Carolina State University-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-North Carolina State University
North Dakota State University-Computer Science,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-North Dakota State University
North Dakota State University-Mathematics,5,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,Mathematics-North Dakota State University
North Dakota State University-Physics,2,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,Physics-North Dakota State University
Northeastern University-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Northeastern University
Northeastern University-Computer Science,3,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Northeastern University
Northeastern University-Mathematics,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Northeastern University
Northeastern University-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Northeastern University
Northwestern University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Northwestern University
Northwestern University-Mathematics,48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Northwestern University
Ohio State University-Chemistry,48,1,0.0208,1,0.0208,0,0.0,1,0.0208,0,0.0,Chemistry-Ohio State University
Ohio State University-Mathematics,20,0,0.0,2,0.1,0,0.0,2,0.1,0,0.0,Mathematics-Ohio State University
Ohio State University-Physics,51,1,0.0196,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Ohio State University
Ohio University-Chemistry,48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Ohio University
Ohio University-Mathematics,48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Ohio University
Ohio University-Physics,49,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Ohio University
Oklahoma State University-Stillwater-Chemistry,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Stillwater-Chemistry-Oklahoma State University
Oklahoma State University-Stillwater-Mathematics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Stillwater-Mathematics-Oklahoma State University
Oklahoma State University-Stillwater-Physics,48,1,0.0208,0,0.0,0,0.0,0,0.0,0,0.0,Stillwater-Physics-Oklahoma State University
Old Dominion University-Chemistry,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Old Dominion University
Old Dominion University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Old Dominion University
Old Dominion University-Mathematics,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Mathematics-Old Dominion University
Old Dominion University-Physics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Old Dominion University
Oregon State University-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Oregon State University
Oregon State University-Computer Science,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Oregon State University
Oregon State University-Mathematics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Oregon State University
Oregon State University-Mechanical Engineering,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Oregon State University
Oregon State University-Physics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Oregon State University
Pennsylvania State University-Chemistry,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Pennsylvania State University
Pennsylvania State University-Mathematics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Pennsylvania State University
Pennsylvania State University-Mechanical Engineering,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Pennsylvania State University
Pennsylvania State University-Physics,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,Physics-Pennsylvania State University
Princeton University-Chemistry,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Princeton University
Princeton University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Princeton University
Princeton University-Mathematics,48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Princeton University
Princeton University-Mechanical Engineering,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Princeton University
Princeton University-Physics,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Princeton University
