seminar_id,university,discipline,condition,total_speakers,unique_speakers,speakers_from_db,urm_from_db,black_from_db,hispanic_from_db,female_from_db,pct_from_db,pct_urm_from_db,pct_black_from_db,pct_hispanic_from_db,pct_female_from_db,any_from_db,any_urm_from_db,any_black_from_db,any_hispanic_from_db,any_female_from_db
c0ccce-d5765d-42,"University of California, San Diego",Mechanical Engineering,control,8,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c11378-b3a14f-b5,"University of California, Berkeley",Mathematics,treatment,4,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c11751-d9ebe4-94,Ohio University,Physics,treatment,26,25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c11aac-863fb4-b6,University of Cincinnati,Mathematics,control,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c11c5f-58b459-d3,Rutgers University-New Brunswick,Mathematics,control,19,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c12d90-47dffa-15,Princeton University,Mathematics,control,36,36,1,1,1,0,0,2.7777777777777777,2.7777777777777777,2.7777777777777777,0.0,0.0,1,1,1,0,0
c158eb-8efb84-d5,University of Connecticut,Physics,treatment,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c18a55-f4b12d-8f,Purdue University,Mathematics,treatment,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c18f5b-8e156c-cc,North Carolina State University,Chemistry,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c190ef-b1bf31-07,Rutgers University-New Brunswick,Mathematics,control,23,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c19135-df3606-4b,Purdue University,Chemistry,control,19,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c1a20f-c969f0-35,Louisiana State University,Chemistry,treatment,28,26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c1a989-ff9525-d0,University of Utah,Mathematics,treatment,20,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c1b506-7671e3-3f,University of Michigan,Mathematics,treatment,26,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c1c8c7-5f94a7-84,Washington University in St. Louis,Physics,control,16,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c1e7be-7dff0d-b8,"University of California, Berkeley",Chemistry,treatment,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c2515f-12671d-97,University of Arizona,Chemistry,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c25580-31a283-9c,Washington University in St. Louis,Mathematics,treatment,8,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c29066-c11806-ee,"University of Maryland, College Park",Mathematics,control,23,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c290ec-62caa3-39,University of Kansas,Physics,control,23,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c2a880-96e94f-12,University of Miami,Physics,treatment,20,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
