department,condition,clicked,total_clicks,num_emails
University of Pennsylvania-Mechanical Engineering,treatment,0,0,1
University of Oregon-Computer Science,control,0,0,1
Northeastern University-Chemistry,control,0,0,1
Wayne State University-Computer Science,control,0,0,1
University of Texas at Dallas-Chemistry,control,0,0,1
Georgia State University-Chemistry,control,0,0,1
University of South Florida-Chemistry,control,0,0,1
North Carolina State University-Physics,control,0,0,1
Virginia Commonwealth University-Mechanical Engineering,treatment,0,0,1
"University of Nevada, Reno-Mathematics",treatment,0,0,1
University of Utah-Computer Science,treatment,0,0,1
University of Delaware-Physics,treatment,0,0,1
University of Nebraska-Lincoln-Physics,treatment,0,0,1
Emory University-Physics,control,1,1,1
Washington University in St. Louis-Chemistry,treatment,0,0,1
University of Tennessee-Computer Science,control,0,0,1
Vanderbilt University-Chemistry,treatment,1,4,1
University of Wisconsin-Milwaukee-Physics,control,0,0,1
California Institute of Technology-Computer Science,control,0,0,1
Michigan State University-Chemistry,treatment,1,1,1
University of Minnesota-Mechanical Engineering,treatment,0,0,1
University of Texas at Austin-Physics,treatment,1,3,1
University of Southern Mississippi-Chemistry,control,0,0,1
Texas Tech University-Mathematics,control,1,1,1
Johns Hopkins University-Computer Science,control,0,0,1
Wayne State University-Mechanical Engineering,control,0,0,1
University of North Texas-Chemistry,control,0,0,1
University of Notre Dame-Chemistry,treatment,0,0,1
University of Southern California-Computer Science,control,0,0,1
University of Washington-Chemistry,control,0,0,1
University at Buffalo-Mechanical Engineering,control,1,2,1
Princeton University-Computer Science,treatment,0,0,1
Texas A&M University-Mechanical Engineering,treatment,1,2,1
University of Arizona-Computer Science,treatment,0,0,1
University of Texas at Austin-Mathematics,control,0,0,1
University of New Hampshire-Chemistry,treatment,0,0,1
University of Montana-Mathematics,treatment,1,2,1
University of Louisville-Chemistry,control,0,0,1
University of Mississippi-Physics,control,0,0,1
Pennsylvania State University-Chemistry,treatment,0,0,1
University of Wisconsin-Milwaukee-Mathematics,control,0,0,1
Georgia State University-Physics,control,0,0,1
University of Alabama at Birmingham-Chemistry,treatment,0,0,1
University of Cincinnati-Mathematics,control,1,1,1
University of Miami-Physics,treatment,0,0,1
Virginia Tech-Computer Science,control,0,0,1
Mississippi State University-Mathematics,treatment,0,0,1
Emory University-Chemistry,control,0,0,1
Duke University-Mechanical Engineering,control,0,0,1
Brown University-Computer Science,control,0,0,1
University of New Hampshire-Physics,control,0,0,1
North Carolina State University-Mechanical Engineering,control,0,0,1
Yale University-Chemistry,control,0,0,1
Rensselaer Polytechnic Institute-Computer Science,control,0,0,1
University of Colorado Boulder-Mechanical Engineering,control,0,0,1
Clemson University-Chemistry,control,0,0,1
Virginia Commonwealth University-Physics,treatment,1,3,1
North Dakota State University-Physics,treatment,0,0,1
George Mason University-Computer Science,control,0,0,1
Baylor University-Chemistry,control,0,0,1
Oregon State University-Chemistry,control,0,0,1
University of Kentucky-Chemistry,treatment,0,0,1
University of Delaware-Mechanical Engineering,control,0,0,1
University of Houston-Computer Science,treatment,0,0,1
"University of California, Davis-Chemistry",treatment,0,0,1
Temple University-Chemistry,treatment,0,0,1
University of Washington-Mechanical Engineering,treatment,1,1,1
Oklahoma State University-Stillwater-Physics,control,0,0,1
University of Texas at Dallas-Physics,control,0,0,1
University of Louisville-Computer Science,control,1,2,1
University of Texas at San Antonio-Chemistry,treatment,0,0,1
North Carolina State University-Computer Science,control,0,0,1
Stanford University-Physics,control,0,0,1
University of Florida-Chemistry,control,0,0,1
"University of California, Irvine-Mechanical Engineering",control,0,0,1
